NOME_DIRIGENTE;NOME_CARGO;NOME_UNIDADE;DATA_INICIO_AFASTAMENTO;DATA_FIM_AFASTAMENTO;NOME_MOTIVO_AFASTAMENTO
FERNANDO ZAMBAN;Secretário Nacional de Economia Popular e Solidária - Substituto;Secretaria Nacional de Economia Popular e Solidária;23/12/2024;29/12/2024;Recesso Final de Ano do Títular
GILBERTO CARVALHO                                        ;Secretário Nacional de Economia Popular e Solidária ;Secretaria Nacional de Economia Popular e Solidária;31/12/2024;10/01/2025;Féria do Titular
FERNANDO ZAMBAN;Secretário Nacional de Economia Popular e Solidária - Substituto;Secretaria Nacional de Economia Popular e Solidária;31/12/2024;31/12/2024;Féria do Títular
ROGERIO XAVIER ROCHA;Diretor de Administração, Finanças e Contabilidade;Diretoria de Logistica Orçamento e Contabilidade;02/01/2024;19/01/2024;Recesso Final de Ano e Férias do Titular
AMANDA FREITAS GOMES;Diretora Adjunta de Administração, Finanças e Contabilidade;Diretoria de Logistica Orçamento e Contabilidade;02/01/2024;19/01/2024;Recesso Final de Ano do Titular e Férias do Titular
ROGERIO XAVIER ROCHA;Diretor de Administração, Finanças e Contabilidade;Diretoria de Logistica Orçamento e Contabilidade;29/04/2024;29/04/2024;Férias do titular
AMANDA FREITAS GOMES;Diretora Adjunta de Administração, Finanças e Contabilidade;Diretoria de Logistica Orçamento e Contabilidade;29/04/2024;29/04/2024;Férias do titular
ROGERIO XAVIER ROCHA;Diretor de Administração, Finanças e Contabilidade;Diretoria de Logistica Orçamento e Contabilidade;29/07/2024;08/08/2024;Férias do titular
AMANDA FREITAS GOMES;Diretora Adjunta de Administração, Finanças e Contabilidade;Diretoria de Logistica Orçamento e Contabilidade;29/07/2024;08/08/2024;Férias do titular
ROGERIO XAVIER ROCHA;Diretor de Administração, Finanças e Contabilidade;Diretoria de Logistica Orçamento e Contabilidade;30/12/2024;31/12/2024;Recesso Final de Ano Final
AMANDA FREITAS GOMES;Diretora Adjunta de Administração, Finanças e Contabilidade;Diretoria de Logistica Orçamento e Contabilidade;30/12/2024;31/12/2024;Recesso de Final de Ano do Titular
FRANCISCO MACENA DA SILVA                                ;Ministro do Trabalho e Emprego - Substituto;Gabinete do Ministro;01/02/2025;02/02/2025;Vacância
LUIZ MARINHO                                             ;Ministro do Trabalho e Emprego;Gabinete do Ministro;24/03/2025;29/03/2025;Viagem Oficial
FRANCISCO MACENA DA SILVA                                ;Ministro do Trabalho e Emprego - Substituto;Gabinete do Ministro;24/03/2025;29/03/2025;Viagem Oficial do Titular
