Data da sessão;Unidade Instauradora;Descrição Acórdão;Processo;TCE
18/03/2025;Ministério do Trabalho e Emprego;Acórdão 1579/2025-2C;023.518/2024-3;1299|2024
18/03/2025;Ministério do Trabalho e Emprego;Acórdão 1548/2025-2C;005.787/2024-6;1968|2023
18/03/2025;Ministério do Trabalho e Emprego;Acórdão 2014/2025-1C;022.008/2024-1;1081|2024
12/03/2025;Ministério do Trabalho e Emprego;Acórdão 466/2025-PL;019.830/2024-6;442|2024
12/03/2025;Ministério do Trabalho e Emprego;Acórdão 467/2025-PL;023.024/2024-0;1079|2024
11/03/2025;Secretaria Especial de Produtividade, Emprego e Competitividade (Extinta);Acórdão 1830/2025-1C;005.039/2022-3;1897|2021
11/03/2025;Ministério do Trabalho e Emprego;Acórdão 1649/2025-1C;024.220/2024-8;1291|2024
11/03/2025;Ministério do Trabalho e Emprego;Acórdão 1479/2025-2C;024.695/2024-6;1294|2024
11/03/2025;Ministério do Trabalho e Emprego;Acórdão 1327/2025-2C;002.193/2023-0;1720|2022
27/02/2025;Ministério do Trabalho e Emprego;Acórdão 395/2025-PL;019.827/2024-5;975|2024
27/02/2025;Ministério do Trabalho e Emprego;Acórdão 397/2025-PL;023.049/2024-3;1128|2024
27/02/2025;Ministério do Trabalho e Emprego;Acórdão 396/2025-PL;023.020/2024-5;971|2024
25/02/2025;Ministério do Trabalho e Emprego;Acórdão 1259/2025-1C;004.729/2023-4;3176|2022
19/02/2025;Ministério do Trabalho e Emprego;Acórdão 356/2025-PL;019.826/2024-9;712|2024
19/02/2025;Ministério do Trabalho e Emprego;Acórdão 357/2025-PL;019.829/2024-8;207|2024
18/02/2025;Ministério do Trabalho e Emprego;Acórdão 978/2025-2C;008.259/2023-2;2750|2022
18/02/2025;Ministério do Trabalho e Emprego;Acórdão 1007/2025-2C;039.857/2023-9;1720|2023
18/02/2025;Ministério do Trabalho e Emprego;Acórdão 1121/2025-1C;015.077/2024-1;286|2024
18/02/2025;Ministério do Trabalho e Emprego;Acórdão 1066/2025-2C;018.448/2024-0;956|2024
11/02/2025;Ministério do Trabalho e Emprego;Acórdão 828/2025-2C;016.116/2022-4;869|2022
11/02/2025;Ministério do Trabalho e Emprego;Acórdão 893/2025-2C;019.828/2024-1;981|2024
04/02/2025;Ministério do Trabalho e Emprego;Acórdão 589/2025-1C;015.063/2024-0;166|2024
28/01/2025;Ministério do Trabalho e Emprego;Acórdão 52/2025-2C;035.071/2023-0;1370|2023
28/01/2025;Ministério do Trabalho e Emprego;Acórdão 11/2025-2C;013.130/2022-6;822|2022
28/01/2025;Ministério do Trabalho e Emprego;Acórdão 199/2025-2C;018.452/2024-8;505|2024
04/12/2024;Ministério do Trabalho e Emprego;Acórdão 10370/2024-1C;021.294/2022-4;1295|2022
04/12/2024;Ministério do Trabalho e Emprego;Acórdão 10519/2024-1C;002.483/2023-8;2441|2022
03/12/2024;Ministério do Trabalho e Emprego;Acórdão 8332/2024-2C;002.260/2024-7;1712|2023
27/11/2024;Ministério do Trabalho e Emprego;Acórdão 10234/2024-1C;017.397/2024-3;547|2024
27/11/2024;Ministério do Trabalho e Emprego;Acórdão 10107/2024-1C;031.437/2022-2;2263|2022
27/11/2024;Ministério do Trabalho e Emprego;Acórdão 10233/2024-1C;017.395/2024-0;462|2024
27/11/2024;Ministério do Trabalho e Emprego;Acórdão 10232/2024-1C;015.070/2021-2;205|2021
26/11/2024;Ministério do Trabalho e Emprego;Acórdão 8153/2024-2C;000.528/2024-2;2035|2023
26/11/2024;Ministério do Trabalho e Emprego;Acórdão 8125/2024-2C;013.130/2022-6;822|2022
19/11/2024;Ministério do Trabalho e Emprego;Acórdão 8040/2024-2C;018.437/2024-9;548|2024
19/11/2024;Ministério do Trabalho e Emprego;Acórdão 8041/2024-2C;018.446/2024-8;375|2024
19/11/2024;Ministério do Trabalho e Emprego;Acórdão 9998/2024-1C;006.475/2024-8;2072|2023
12/11/2024;Ministério do Trabalho e Emprego;Acórdão 9949/2024-1C;016.235/2024-0;529|2024
05/11/2024;Ministério do Trabalho e Emprego;Acórdão 7813/2024-2C;018.431/2024-0;356|2024
05/11/2024;Ministério do Trabalho e Emprego;Acórdão 7872/2024-2C;007.867/2024-7;2557|2023
05/11/2024;Ministério do Trabalho e Emprego;Acórdão 7815/2024-2C;031.669/2022-0;1616|2022
05/11/2024;Ministério do Trabalho e Emprego;Acórdão 7727/2024-2C;007.748/2024-8;2722|2023
05/11/2024;Ministério do Trabalho e Emprego;Acórdão 7880/2024-2C;022.030/2023-9;546|2023
05/11/2024;Ministério do Trabalho e Emprego;Acórdão 7809/2024-2C;015.334/2024-4;2003|2023
29/10/2024;Ministério do Trabalho e Emprego;Acórdão 7681/2024-2C;007.869/2024-0;2610|2023
22/10/2024;Ministério do Trabalho e Emprego;Acórdão 9288/2024-1C;015.078/2024-8;479|2024
22/10/2024;Ministério do Trabalho e Emprego;Acórdão 9256/2024-1C;007.411/2024-3;1361|2023
22/10/2024;Ministério do Trabalho e Emprego;Acórdão 9263/2024-1C;037.530/2023-2;969|2023
15/10/2024;Ministério do Trabalho e Emprego;Acórdão 9150/2024-1C;040.485/2023-4;1650|2023
15/10/2024;Ministério do Trabalho e Emprego;Acórdão 9082/2024-1C;015.061/2024-8;184|2024
15/10/2024;Ministério do Trabalho e Emprego;Acórdão 8995/2024-1C;004.749/2023-5;2531|2022
09/10/2024;Ministério do Trabalho e Emprego;Acórdão 8874/2024-1C;015.057/2024-0;239|2024
09/10/2024;Ministério do Trabalho e Emprego;Acórdão 2153/2024-PL;002.534/2024-0;2033|2023
09/10/2024;Ministério do Trabalho e Emprego;Acórdão 8821/2024-1C;008.699/2024-0;2479|2023
08/10/2024;Ministério do Trabalho e Emprego;Acórdão 7311/2024-2C;007.744/2024-2;2616|2023
08/10/2024;Ministério do Trabalho e Emprego;Acórdão 7319/2024-2C;035.212/2023-3;1411|2023
08/10/2024;Ministério do Trabalho e Emprego;Acórdão 7312/2024-2C;007.868/2024-3;2578|2023
03/10/2024;Ministério do Trabalho e Emprego;Acórdão 2047/2024-PL;002.417/2024-3;1999|2023
01/10/2024;Ministério do Trabalho e Emprego;Acórdão 7027/2024-2C;019.767/2023-4;543|2023
01/10/2024;Ministério do Trabalho e Emprego;Acórdão 8544/2024-1C;008.711/2024-0;202|2024
01/10/2024;Ministério do Trabalho e Emprego;Acórdão 8543/2024-1C;008.708/2024-0;180|2024
01/10/2024;Ministério do Trabalho e Emprego;Acórdão 8542/2024-1C;008.701/2024-5;2713|2023
24/09/2024;Ministério do Trabalho e Emprego;Acórdão 8342/2024-1C;008.709/2024-6;191|2024
24/09/2024;Ministério do Trabalho e Emprego;Acórdão 8340/2024-1C;008.705/2024-0;2742|2023
24/09/2024;Ministério do Trabalho e Emprego;Acórdão 8341/2024-1C;008.707/2024-3;2791|2023
18/09/2024;Ministério do Trabalho e Emprego;Acórdão 1960/2024-PL;008.161/2024-0;2147|2023
18/09/2024;Ministério do Trabalho e Emprego;Acórdão 1959/2024-PL;008.153/2024-8;2777|2023
18/09/2024;Ministério do Trabalho e Emprego;Acórdão 7950/2024-1C;041.035/2021-6;1287|2021
18/09/2024;Ministério do Trabalho e Emprego;Acórdão 7942/2024-1C;004.742/2023-0;2655|2022
18/09/2024;Ministério do Trabalho e Emprego;Acórdão 8024/2024-1C;040.483/2023-1;976|2023
17/09/2024;Ministério do Trabalho e Emprego;Acórdão 6612/2024-2C;035.211/2023-7;1259|2023
17/09/2024;Ministério do Trabalho e Emprego;Acórdão 6708/2024-2C;007.870/2024-8;2726|2023
10/09/2024;Ministério do Trabalho e Emprego;Acórdão 6544/2024-2C;007.745/2024-9;2589|2023
10/09/2024;Ministério do Trabalho e Emprego;Acórdão 7892/2024-1C;006.477/2024-0;2487|2023
10/09/2024;Ministério do Trabalho e Emprego;Acórdão 7894/2024-1C;015.079/2024-4;515|2024
10/09/2024;Ministério do Trabalho e Emprego;Acórdão 7913/2024-1C;015.059/2024-3;290|2024
10/09/2024;Ministério do Trabalho e Emprego;Acórdão 6435/2024-2C;021.962/2023-5;954|2023
10/09/2024;Ministério do Trabalho e Emprego;Acórdão 6551/2024-2C;022.028/2023-4;334|2023
10/09/2024;Ministério do Trabalho e Emprego;Acórdão 6545/2024-2C;007.747/2024-1;2601|2023
03/09/2024;Ministério do Trabalho e Emprego;Acórdão 6351/2024-2C;019.650/2023-0;3208|2022
03/09/2024;Ministério do Trabalho e Emprego;Acórdão 7669/2024-1C;005.605/2024-5;2059|2023
03/09/2024;Ministério do Trabalho e Emprego;Acórdão 7771/2024-1C;015.058/2024-7;285|2024
28/08/2024;Ministério do Trabalho e Emprego;Acórdão 1735/2024-PL;008.156/2024-7;13|2024
28/08/2024;Ministério do Trabalho e Emprego;Acórdão 1734/2024-PL;008.151/2024-5;2581|2023
28/08/2024;Ministério do Trabalho e Emprego;Acórdão 1728/2024-PL;002.418/2024-0;2020|2023
28/08/2024;Ministério do Trabalho e Emprego;Acórdão 1736/2024-PL;008.162/2024-7;2743|2023
27/08/2024;Ministério do Trabalho e Emprego;Acórdão 7388/2024-1C;026.962/2022-5;1499|2022
27/08/2024;Ministério do Trabalho e Emprego;Acórdão 6158/2024-2C;013.970/2022-4;866|2022
27/08/2024;Ministério do Trabalho e Emprego;Acórdão 6161/2024-2C;035.209/2023-2;1199|2023
27/08/2024;Ministério do Trabalho e Emprego;Acórdão 7566/2024-1C;037.323/2023-7;1045|2023
27/08/2024;Ministério do Trabalho e Emprego;Acórdão 7377/2024-1C;019.968/2022-1;877|2022
20/08/2024;Ministério do Trabalho e Emprego;Acórdão 7359/2024-1C;037.335/2023-5;1700|2023
20/08/2024;Ministério do Trabalho e Emprego;Acórdão 7355/2024-1C;014.530/2023-6;3233|2022
20/08/2024;Ministério do Trabalho e Emprego;Acórdão 7136/2024-1C;006.473/2024-5;2249|2023
20/08/2024;Ministério do Trabalho e Emprego;Acórdão 6066/2024-2C;008.380/2024-4;2755|2023
20/08/2024;Ministério do Trabalho e Emprego;Acórdão 6094/2024-2C;019.653/2023-9;157|2023
13/08/2024;Ministério do Trabalho e Emprego;Acórdão 5906/2024-2C;000.527/2024-6;2029|2023
13/08/2024;Ministério do Trabalho e Emprego;Acórdão 6894/2024-1C;021.295/2022-0;1324|2022
