Comunicação;Destinatário;Contato;Unidade Emitente;Processo;Data de Expedição;Data da Resposta
Ofício 047.173/2025;MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;018.447/2024-4;10/11/2025;
Ofício 047.171/2025;MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;000.477/2024-9;10/11/2025;
Ofício 046.800/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;018.375/2025-1;06/11/2025;25/11/2025
Ofício 042.757/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;041.035/2021-6;05/11/2025;
Ofício 044.470/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;019.652/2023-2;03/11/2025;
Ofício 043.224/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;002.978/2024-5;03/11/2025;
Ofício 045.852/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;028.516/2024-9;31/10/2025;17/11/2025
Ofício 045.853/2025;FUNDO DE AMPARO AO TRABALHADOR;SÉRGIO LUIZ LEITE;SEPROC;028.516/2024-9;31/10/2025;
Ofício 045.855/2025;ASSESSORIA ESPECIAL DE CONTROLE INTERNO DO MINISTÉRIO DO TRABALHO E EMPREGO;CHEFE DA ASSESSORIA ESPECIAL DE CONTROLE INTERNO DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;028.516/2024-9;31/10/2025;
Ofício 045.148/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;008.257/2024-8;28/10/2025;
Ofício 044.176/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;031.437/2022-2;23/10/2025;
Ofício 043.548/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;014.111/2025-0;23/10/2025;
Ofício 043.863/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;015.056/2024-4;22/10/2025;
Ofício 044.563/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;014.112/2025-6;21/10/2025;
Ofício 042.786/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;015.026/2025-6;20/10/2025;
Ofício 041.872/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;035.063/2023-8;10/10/2025;
Ofício 042.954/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;025.478/2013-3;09/10/2025;
Ofício 042.601/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;039.676/2012-9;06/10/2025;
Ofício 042.175/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;005.610/2024-9;03/10/2025;
Ofício 041.825/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;000.498/2024-6;02/10/2025;
Ofício 041.709/2025;ASSESSORIA ESPECIAL DE CONTROLE INTERNO DO MINISTÉRIO DO TRABALHO E EMPREGO;CHEFE DA ASSESSORIA ESPECIAL DE CONTROLE INTERNO DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;003.879/2021-6;01/10/2025;
Ofício 000.140/2025;SUPERINTENDÊNCIA REGIONAL DO TRABALHO NO ESTADO DE ALAGOAS;SUPERINTENDENTE;SRI-ADJUNTA;;01/10/2025;
Ofício 000.139/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SRI-ADJUNTA;;01/10/2025;
Ofício 040.629/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;005.226/2023-6;30/09/2025;10/11/2025
Ofício 040.722/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;017.071/2020-8;24/09/2025;
Ofício 039.807/2025;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;009.654/2023-2;24/09/2025;
